"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.00078739791238e-32,0.639927760541211,1,0.943,3.54909850068807e-28,"0","ttn.2"
1.0121601852775e-20,0.628365402848299,0.951,0.669,8.97887300359669e-17,"0","LOC102685487"
3.66929454671603e-17,0.48304474503955,0.984,0.871,3.25503119239179e-13,"0","LOC102682520"
1.17506025126466e-16,0.64094251281998,0.85,0.605,1.04239594889688e-12,"0","neb"
5.46415718322286e-16,0.994135067598862,0.575,0.343,4.847253837237e-12,"0","ryr3"
8.54911075672889e-15,0.589253089967631,0.801,0.554,7.58391615229419e-11,"0","LOC102698088"
1.54590761427796e-09,0.941354222754354,0.333,0.174,1.37137464462598e-05,"0","LOC102699018"
3.08109658199628e-09,0.809988893625581,0.513,0.348,2.7332407778889e-05,"0","dmd"
1.15995410006379e-08,1.00598160266067,0.399,0.25,0.000102899528216659,"0","LOC138223327"
2.31086379650779e-08,0.798132014851514,0.458,0.302,0.000204996727388206,"0","obscnb"
4.10407985638486e-07,0.746070802209436,0.438,0.296,0.00364072924059901,"0","slc8a3"
4.30573226843826e-06,1.03217224387393,0.265,0.155,0.0381961509533158,"0","LOC138224484"
4.32648622803692e-06,0.642000050465054,0.428,0.297,0.0383802593289155,"0","spega"
4.94876326306874e-06,0.748087500131242,0.353,0.229,0.0439004789066828,"0","trdn"
5.84212431889981e-06,0.741026761546209,0.405,0.278,0.0518254848329602,"0","ryr1b"
1.04477362034934e-05,0.46726661080248,0.608,0.467,0.0926818678611896,"0","casq1b"
1.57655697297042e-05,0.73567919636284,0.268,0.159,0.139856369072206,"0","mef2cb"
4.90938841693142e-05,0.352350556811334,0.693,0.548,0.435511846465987,"0","LOC138238244"
5.47748338278951e-05,0.893550517806737,0.255,0.159,0.485907550887257,"0","LOC138235465"
0.000260356142788217,0.710911291213898,0.333,0.241,1,"0","cdh13"
0.000299575589144519,0.455571277170105,0.373,0.262,1,"0","srl"
0.00155721986836776,0.278626815483561,0.922,0.885,1,"0","LOC107079931"
0.00164160872171194,0.477774027582864,0.314,0.224,1,"0","jph1a"
0.00186214646372127,0.554574983517024,0.255,0.176,1,"0","fhod3a"
0.00296555822805042,0.43014959082356,0.415,0.325,1,"0","unm-hu7910"
5.03128181618042e-29,3.74861709641037,0.305,0.067,4.46325009913365e-25,"1","col1a1b"
1.0499336673402e-91,4.36336535367034,0.539,0.046,9.31396156297492e-88,"2","LOC107075879"
6.32677022376156e-74,4.4888962357542,0.404,0.026,5.61247786549888e-70,"2","nrxn1a"
2.13973305185937e-63,4.27025594927886,0.371,0.028,1.89815719030445e-59,"2","LOC102695255"
1.12126969797554e-61,4.07069145739667,0.371,0.03,9.94678349074105e-58,"2","camta1a"
4.28309560274443e-61,3.85521845000001,0.382,0.033,3.79953410919459e-57,"2","lsamp"
4.42738624439568e-59,4.48459609832057,0.303,0.016,3.92753433740341e-55,"2","adgrl1a"
1.03590274343568e-51,4.58526463022643,0.264,0.014,9.18949323701789e-48,"2","LOC102696991"
3.45823716923663e-49,3.1569999717756,0.511,0.102,3.06780219282982e-45,"2","rbfox1"
6.53409167142645e-49,4.20314175342032,0.275,0.018,5.7963927217224e-45,"2","gabra2a"
3.13302744089522e-47,3.98836251619375,0.303,0.027,2.77930864281815e-43,"2","pcdh11"
1.70830669126861e-45,3.90197221869975,0.253,0.016,1.51543886582438e-41,"2","mid2"
